,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,104.244.42.0-255,66,66,93,264
1,0.00954,31.13.82.0-255,66,132,93,264
2,0.013796,31.13.82.0-255,66,198,93,264
3,0.055988,31.13.82.0-255,66,264,93,264
4,0.0,157.240.13.0-255,66,66,93,132
5,0.024972,104.244.42.0-255,66,132,93,132
6,0.0,172.31.47.0-255,66,66,93,132
7,0.004058,104.244.42.0-255,66,132,93,132
8,0.0,157.240.13.0-255,66,66,93,330
9,0.021625,172.31.47.0-255,66,132,93,330
10,0.023643,104.244.42.0-255,66,198,93,330
11,0.030254,31.13.82.0-255,66,264,93,330
12,0.034792,31.13.82.0-255,66,330,93,330
13,0.0,157.240.13.0-255,66,66,93,132
14,0.022195,172.31.47.0-255,66,132,93,132
15,0.0,104.244.42.0-255,66,66,93,66
16,0.0,104.244.42.0-255,66,66,93,132
17,0.056944,31.13.82.0-255,66,132,93,132
18,0.0,157.240.13.0-255,66,66,93,198
19,0.013174,172.31.47.0-255,66,132,93,198
20,0.016908,104.244.42.0-255,66,198,93,198
21,0.0,157.240.13.0-255,66,66,93,264
22,0.023714,104.244.42.0-255,66,132,93,264
23,0.035872,31.13.82.0-255,66,198,93,264
24,0.040286,31.13.82.0-255,66,264,93,264
25,0.0,157.240.13.0-255,66,66,93,198
26,0.020583,172.31.47.0-255,66,132,93,198
27,0.026222,104.244.42.0-255,66,198,93,198
28,0.0,104.244.42.0-255,66,66,93,66
29,0.0,104.244.42.0-255,66,66,93,66
30,0.0,104.244.42.0-255,66,66,93,66
31,0.0,104.244.42.0-255,66,66,93,535
32,3.7e-05,104.244.42.0-255,97,163,93,535
33,5.2e-05,172.31.47.0-255,54,217,93,535
34,0.000221,104.244.42.0-255,66,283,93,535
35,0.000226,172.31.47.0-255,54,337,93,535
36,0.039034,31.13.82.0-255,66,403,93,535
37,0.040703,104.244.42.0-255,66,469,93,535
38,0.043363,31.13.82.0-255,66,535,93,535
39,0.0,157.240.13.0-255,66,66,93,396
40,0.019332,172.31.47.0-255,66,132,93,396
41,0.01987,31.13.82.0-255,66,198,93,396
42,0.024313,104.244.42.0-255,66,264,93,396
43,0.025534,31.13.82.0-255,66,330,93,396
44,0.066047,31.13.82.0-255,66,396,93,396
45,0.0,104.244.42.0-255,66,66,93,198
46,0.010906,31.13.82.0-255,66,132,93,198
47,0.052844,31.13.82.0-255,66,198,93,198
48,0.0,104.244.42.0-255,66,66,93,66
49,0.0,104.244.42.0-255,66,66,93,198
50,0.01507,31.13.82.0-255,66,132,93,198
51,0.057596,31.13.82.0-255,66,198,93,198
52,0.0,104.244.42.0-255,66,66,93,66
53,0.0,104.244.42.0-255,66,66,93,132
54,0.055316,31.13.82.0-255,66,132,93,132
55,0.0,104.244.42.0-255,66,66,93,66
56,0.0,104.244.42.0-255,110,110,93,1626
57,1.4e-05,172.31.47.0-255,78,188,93,1626
58,0.007611,172.31.47.0-255,243,431,93,1626
59,0.007645,172.31.47.0-255,723,1154,93,1626
60,0.008032,172.31.47.0-255,104,1258,93,1626
61,0.009199,104.244.42.0-255,66,1324,93,1626
62,0.009252,104.244.42.0-255,104,1428,93,1626
63,0.045644,172.31.47.0-255,66,1494,93,1626
64,0.050019,104.244.42.0-255,66,1560,93,1626
65,0.07307,31.13.82.0-255,66,1626,93,1626
66,0.0,104.244.42.0-255,66,66,93,66
67,0.0,157.240.13.0-255,66,66,93,1116
68,0.024113,172.31.47.0-255,105,171,93,1116
69,0.024155,172.31.47.0-255,105,276,93,1116
70,0.024304,172.31.47.0-255,90,366,93,1116
71,0.024313,172.31.47.0-255,66,432,93,1116
72,0.024506,172.31.47.0-255,90,522,93,1116
73,0.024512,172.31.47.0-255,66,588,93,1116
74,0.026504,172.217.194.0-255,66,654,93,1116
75,0.026515,172.217.194.0-255,66,720,93,1116
76,0.02652,172.31.47.0-255,66,786,93,1116
77,0.026523,172.217.194.0-255,66,852,93,1116
78,0.027018,74.125.130.0-255,66,918,93,1116
79,0.027027,74.125.130.0-255,66,984,93,1116
80,0.027036,172.31.47.0-255,66,1050,93,1116
81,0.029466,104.244.42.0-255,66,1116,93,1116
82,0.0,104.244.42.0-255,66,66,93,733
83,0.002336,104.244.42.0-255,104,170,93,733
84,0.003178,172.31.47.0-255,104,274,93,733
85,0.044976,104.244.42.0-255,66,340,93,733
86,0.052368,31.13.82.0-255,66,406,93,733
87,0.056255,31.13.82.0-255,66,472,93,733
88,0.077847,172.31.47.0-255,105,577,93,733
89,0.07804,172.31.47.0-255,90,667,93,733
90,0.078051,172.31.47.0-255,66,733,93,733
91,0.0,104.244.42.0-255,66,66,93,66
92,0.0,104.244.42.0-255,66,66,93,66
93,0.0,104.244.42.0-255,66,66,93,198
94,0.004845,31.13.82.0-255,66,132,93,198
95,0.048181,31.13.82.0-255,66,198,93,198
96,0.0,104.244.42.0-255,66,66,93,1038
97,9.1e-05,104.244.42.0-255,104,170,93,1038
98,0.002698,172.31.47.0-255,97,267,93,1038
99,0.002708,172.31.47.0-255,66,333,93,1038
100,0.002812,172.31.47.0-255,104,437,93,1038
101,0.004292,104.244.42.0-255,66,503,93,1038
102,0.00431,104.244.42.0-255,97,600,93,1038
103,0.004325,172.31.47.0-255,54,654,93,1038
104,0.004431,104.244.42.0-255,66,720,93,1038
105,0.004436,172.31.47.0-255,54,774,93,1038
106,0.021693,157.240.13.0-255,66,840,93,1038
107,0.044353,104.244.42.0-255,66,906,93,1038
108,0.055965,31.13.82.0-255,66,972,93,1038
109,0.060238,31.13.82.0-255,66,1038,93,1038
110,0.0,104.244.42.0-255,168,168,93,454
111,1.4e-05,172.31.47.0-255,66,234,93,454
112,0.012435,172.31.47.0-255,154,388,93,454
113,0.013988,104.244.42.0-255,66,454,93,454
114,0.0,104.244.42.0-255,66,66,93,66
115,0.0,157.240.13.0-255,66,66,93,198
116,0.021732,172.31.47.0-255,66,132,93,198
117,0.025227,104.244.42.0-255,66,198,93,198
118,0.0,104.244.42.0-255,66,66,93,66
119,0.0,104.244.42.0-255,110,110,93,1790
120,0.016614,172.31.47.0-255,243,353,93,1790
121,0.016658,172.31.47.0-255,728,1081,93,1790
122,0.017473,172.31.47.0-255,104,1185,93,1790
123,0.018225,104.244.42.0-255,66,1251,93,1790
124,0.018259,104.244.42.0-255,104,1355,93,1790
125,0.038251,31.13.82.0-255,66,1421,93,1790
126,0.043667,31.13.82.0-255,66,1487,93,1790
127,0.054875,172.31.47.0-255,66,1553,93,1790
128,0.059622,104.244.42.0-255,66,1619,93,1790
129,0.063135,31.13.82.0-255,105,1724,93,1790
130,0.063148,172.31.47.0-255,66,1790,93,1790
131,0.0,104.244.42.0-255,66,66,93,66
132,0.0,104.244.42.0-255,66,66,93,66
133,0.0,104.244.42.0-255,104,104,93,418
134,2.1e-05,172.31.47.0-255,78,182,93,418
135,0.003466,172.31.47.0-255,104,286,93,418
136,0.010603,157.240.13.0-255,66,352,93,418
137,0.046998,104.244.42.0-255,66,418,93,418
138,0.0,104.244.42.0-255,66,66,93,66
139,0.0,172.31.47.0-255,66,66,93,330
140,0.00587,104.244.42.0-255,66,132,93,330
141,0.008582,31.13.82.0-255,66,198,93,330
142,0.013661,31.13.82.0-255,66,264,93,330
143,0.058835,31.13.82.0-255,66,330,93,330
144,0.0,104.244.42.0-255,66,66,93,66
145,0.0,172.31.47.0-255,74,74,93,6308
146,0.001574,104.244.42.0-255,74,148,93,6308
147,0.00159,172.31.47.0-255,66,214,93,6308
148,0.004451,172.31.47.0-255,612,826,93,6308
149,0.005992,104.244.42.0-255,66,892,93,6308
150,0.009143,104.244.42.0-255,3363,4255,93,6308
151,0.009167,172.31.47.0-255,66,4321,93,6308
152,0.027966,157.240.13.0-255,66,4387,93,6308
153,0.034795,172.31.47.0-255,192,4579,93,6308
154,0.036685,104.244.42.0-255,308,4887,93,6308
155,0.037564,104.244.42.0-255,110,4997,93,6308
156,0.038872,172.31.47.0-255,66,5063,93,6308
157,0.039443,172.31.47.0-255,243,5306,93,6308
158,0.039469,172.31.47.0-255,728,6034,93,6308
159,0.041058,104.244.42.0-255,66,6100,93,6308
160,0.042447,104.244.42.0-255,104,6204,93,6308
161,0.042986,172.31.47.0-255,104,6308,93,6308
162,0.0,104.244.42.0-255,66,66,93,66
163,0.0,172.31.47.0-255,130,130,93,904
164,0.002019,157.240.13.0-255,66,196,93,904
165,0.00856,172.31.47.0-255,96,292,93,904
166,0.009038,172.31.47.0-255,101,393,93,904
167,0.009557,172.31.47.0-255,101,494,93,904
168,0.010553,157.240.13.0-255,66,560,93,904
169,0.019593,172.31.47.0-255,146,706,93,904
170,0.051386,157.240.13.0-255,66,772,93,904
171,0.053255,157.240.13.0-255,66,838,93,904
172,0.061387,104.244.42.0-255,66,904,93,904
173,0.0,104.244.42.0-255,66,66,93,618
174,0.05823,172.31.47.0-255,105,171,93,618
175,0.058285,172.31.47.0-255,105,276,93,618
176,0.060042,157.240.13.0-255,105,381,93,618
177,0.060057,172.31.47.0-255,66,447,93,618
178,0.060577,172.217.194.0-255,105,552,93,618
179,0.060584,172.31.47.0-255,66,618,93,618
180,0.0,104.244.42.0-255,66,66,93,2553
181,0.000198,104.244.42.0-255,212,278,93,2553
182,0.000204,172.31.47.0-255,66,344,93,2553
183,0.004302,172.31.47.0-255,117,461,93,2553
184,0.005496,172.31.47.0-255,112,573,93,2553
185,0.005728,172.31.47.0-255,243,816,93,2553
186,0.005757,172.31.47.0-255,721,1537,93,2553
187,0.006046,104.244.42.0-255,110,1647,93,2553
188,0.006588,172.31.47.0-255,97,1744,93,2553
189,0.006598,172.31.47.0-255,66,1810,93,2553
190,0.006741,172.31.47.0-255,104,1914,93,2553
191,0.007318,104.244.42.0-255,66,1980,93,2553
192,0.007371,104.244.42.0-255,104,2084,93,2553
193,0.008145,104.244.42.0-255,66,2150,93,2553
194,0.00819,104.244.42.0-255,97,2247,93,2553
195,0.008207,172.31.47.0-255,54,2301,93,2553
196,0.008381,104.244.42.0-255,66,2367,93,2553
197,0.008387,172.31.47.0-255,54,2421,93,2553
198,0.043984,172.31.47.0-255,66,2487,93,2553
199,0.04918,104.244.42.0-255,66,2553,93,2553
200,0.0,104.244.42.0-255,66,66,93,132
201,0.016676,31.13.82.0-255,66,132,93,132
202,0.0,104.244.42.0-255,66,66,93,66
203,0.0,104.244.42.0-255,66,66,93,66
204,0.0,104.244.42.0-255,66,66,93,264
205,0.007429,31.13.82.0-255,66,132,93,264
206,0.011623,31.13.82.0-255,66,198,93,264
207,0.050566,31.13.82.0-255,66,264,93,264
208,0.0,104.244.42.0-255,167,167,93,453
209,1.5e-05,172.31.47.0-255,66,233,93,453
210,0.01277,172.31.47.0-255,154,387,93,453
211,0.014299,104.244.42.0-255,66,453,93,453
212,0.0,104.244.42.0-255,66,66,93,66
213,0.0,157.240.13.0-255,66,66,93,330
214,0.007114,104.244.42.0-255,66,132,93,330
215,0.014531,31.13.82.0-255,66,198,93,330
216,0.024945,31.13.82.0-255,66,264,93,330
217,0.065787,31.13.82.0-255,66,330,93,330
218,0.0,157.240.7.0-255,66,66,93,132
219,0.01518,172.31.47.0-255,66,132,93,132
220,0.0,104.244.42.0-255,66,66,93,66
221,0.0,104.244.42.0-255,66,66,93,198
222,0.021468,31.13.82.0-255,66,132,93,198
223,0.062822,31.13.82.0-255,66,198,93,198
224,0.0,172.31.47.0-255,66,66,93,330
225,0.002961,104.244.42.0-255,66,132,93,330
226,0.014127,31.13.82.0-255,66,198,93,330
227,0.020106,31.13.82.0-255,66,264,93,330
228,0.060272,31.13.82.0-255,66,330,93,330
229,0.0,104.244.42.0-255,66,66,93,66
230,0.0,104.244.42.0-255,66,66,93,66
231,0.0,104.244.42.0-255,66,66,93,66
232,0.0,104.244.42.0-255,66,66,93,66
233,0.0,172.31.47.0-255,612,612,93,2618
234,0.001553,104.244.42.0-255,66,678,93,2618
235,0.001747,104.244.42.0-255,212,890,93,2618
236,0.001753,172.31.47.0-255,66,956,93,2618
237,0.002221,172.31.47.0-255,117,1073,93,2618
238,0.003969,104.244.42.0-255,110,1183,93,2618
239,0.004625,172.31.47.0-255,243,1426,93,2618
240,0.00465,172.31.47.0-255,720,2146,93,2618
241,0.00526,172.31.47.0-255,104,2250,93,2618
242,0.006209,104.244.42.0-255,66,2316,93,2618
243,0.006262,104.244.42.0-255,104,2420,93,2618
