,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,104.244.42.0-255,66,66,93,264
1,0.00954,31.13.82.0-255,66,132,93,264
2,0.013796,31.13.82.0-255,66,198,93,264
3,0.055988,31.13.82.0-255,66,264,93,264
4,0.0,157.240.13.0-255,66,66,93,132
5,0.024972,104.244.42.0-255,66,132,93,132
6,0.0,172.31.47.0-255,66,66,93,132
7,0.004058,104.244.42.0-255,66,132,93,132
8,0.0,157.240.13.0-255,66,66,93,330
9,0.021625,172.31.47.0-255,66,132,93,330
10,0.023643,104.244.42.0-255,66,198,93,330
11,0.030254,31.13.82.0-255,66,264,93,330
12,0.034792,31.13.82.0-255,66,330,93,330
13,0.0,157.240.13.0-255,66,66,93,132
14,0.022195,172.31.47.0-255,66,132,93,132
15,0.0,104.244.42.0-255,66,66,93,66
16,0.0,104.244.42.0-255,66,66,93,132
17,0.056944,31.13.82.0-255,66,132,93,132
18,0.0,157.240.13.0-255,66,66,93,198
19,0.013174,172.31.47.0-255,66,132,93,198
20,0.016908,104.244.42.0-255,66,198,93,198
21,0.0,157.240.13.0-255,66,66,93,264
22,0.023714,104.244.42.0-255,66,132,93,264
23,0.035872,31.13.82.0-255,66,198,93,264
24,0.040286,31.13.82.0-255,66,264,93,264
25,0.0,157.240.13.0-255,66,66,93,198
26,0.020583,172.31.47.0-255,66,132,93,198
27,0.026222,104.244.42.0-255,66,198,93,198
28,0.0,104.244.42.0-255,66,66,93,66
29,0.0,104.244.42.0-255,66,66,93,66
30,0.0,104.244.42.0-255,66,66,93,66
31,0.0,104.244.42.0-255,66,66,93,535
32,3.7e-05,104.244.42.0-255,97,163,93,535
33,5.2e-05,172.31.47.0-255,54,217,93,535
34,0.000221,104.244.42.0-255,66,283,93,535
35,0.000226,172.31.47.0-255,54,337,93,535
36,0.039034,31.13.82.0-255,66,403,93,535
37,0.040703,104.244.42.0-255,66,469,93,535
38,0.043363,31.13.82.0-255,66,535,93,535
39,0.0,157.240.13.0-255,66,66,93,330
40,0.019332,172.31.47.0-255,66,132,93,330
41,0.01987,31.13.82.0-255,66,198,93,330
42,0.024313,104.244.42.0-255,66,264,93,330
43,0.025534,31.13.82.0-255,66,330,93,330
44,0.0,104.244.42.0-255,66,66,93,198
45,0.010906,31.13.82.0-255,66,132,93,198
46,0.052844,31.13.82.0-255,66,198,93,198
47,0.0,104.244.42.0-255,66,66,93,66
48,0.0,104.244.42.0-255,66,66,93,198
49,0.01507,31.13.82.0-255,66,132,93,198
50,0.057596,31.13.82.0-255,66,198,93,198
51,0.0,104.244.42.0-255,66,66,93,66
52,0.0,104.244.42.0-255,66,66,93,132
53,0.055316,31.13.82.0-255,66,132,93,132
54,0.0,104.244.42.0-255,66,66,93,66
55,0.0,104.244.42.0-255,110,110,93,1560
56,1.4e-05,172.31.47.0-255,78,188,93,1560
57,0.007611,172.31.47.0-255,243,431,93,1560
58,0.007645,172.31.47.0-255,723,1154,93,1560
59,0.008032,172.31.47.0-255,104,1258,93,1560
60,0.009199,104.244.42.0-255,66,1324,93,1560
61,0.009252,104.244.42.0-255,104,1428,93,1560
62,0.045644,172.31.47.0-255,66,1494,93,1560
63,0.050019,104.244.42.0-255,66,1560,93,1560
64,0.0,104.244.42.0-255,66,66,93,66
65,0.0,157.240.13.0-255,66,66,93,1116
66,0.024113,172.31.47.0-255,105,171,93,1116
67,0.024155,172.31.47.0-255,105,276,93,1116
68,0.024304,172.31.47.0-255,90,366,93,1116
69,0.024313,172.31.47.0-255,66,432,93,1116
70,0.024506,172.31.47.0-255,90,522,93,1116
71,0.024512,172.31.47.0-255,66,588,93,1116
72,0.026504,172.217.194.0-255,66,654,93,1116
73,0.026515,172.217.194.0-255,66,720,93,1116
74,0.02652,172.31.47.0-255,66,786,93,1116
75,0.026523,172.217.194.0-255,66,852,93,1116
76,0.027018,74.125.130.0-255,66,918,93,1116
77,0.027027,74.125.130.0-255,66,984,93,1116
78,0.027036,172.31.47.0-255,66,1050,93,1116
79,0.029466,104.244.42.0-255,66,1116,93,1116
80,0.0,104.244.42.0-255,66,66,93,472
81,0.002336,104.244.42.0-255,104,170,93,472
82,0.003178,172.31.47.0-255,104,274,93,472
83,0.044976,104.244.42.0-255,66,340,93,472
84,0.052368,31.13.82.0-255,66,406,93,472
85,0.056255,31.13.82.0-255,66,472,93,472
86,0.0,104.244.42.0-255,66,66,93,66
87,0.0,104.244.42.0-255,66,66,93,66
88,0.0,104.244.42.0-255,66,66,93,198
89,0.004845,31.13.82.0-255,66,132,93,198
90,0.048181,31.13.82.0-255,66,198,93,198
91,0.0,104.244.42.0-255,66,66,93,972
92,9.1e-05,104.244.42.0-255,104,170,93,972
93,0.002698,172.31.47.0-255,97,267,93,972
94,0.002708,172.31.47.0-255,66,333,93,972
95,0.002812,172.31.47.0-255,104,437,93,972
96,0.004292,104.244.42.0-255,66,503,93,972
97,0.00431,104.244.42.0-255,97,600,93,972
98,0.004325,172.31.47.0-255,54,654,93,972
99,0.004431,104.244.42.0-255,66,720,93,972
100,0.004436,172.31.47.0-255,54,774,93,972
101,0.021693,157.240.13.0-255,66,840,93,972
102,0.044353,104.244.42.0-255,66,906,93,972
103,0.055965,31.13.82.0-255,66,972,93,972
104,0.0,104.244.42.0-255,168,168,93,454
105,1.4e-05,172.31.47.0-255,66,234,93,454
106,0.012435,172.31.47.0-255,154,388,93,454
107,0.013988,104.244.42.0-255,66,454,93,454
108,0.0,104.244.42.0-255,66,66,93,66
109,0.0,157.240.13.0-255,66,66,93,198
110,0.021732,172.31.47.0-255,66,132,93,198
111,0.025227,104.244.42.0-255,66,198,93,198
112,0.0,104.244.42.0-255,66,66,93,66
113,0.0,104.244.42.0-255,110,110,93,1619
114,0.016614,172.31.47.0-255,243,353,93,1619
115,0.016658,172.31.47.0-255,728,1081,93,1619
116,0.017473,172.31.47.0-255,104,1185,93,1619
117,0.018225,104.244.42.0-255,66,1251,93,1619
118,0.018259,104.244.42.0-255,104,1355,93,1619
119,0.038251,31.13.82.0-255,66,1421,93,1619
120,0.043667,31.13.82.0-255,66,1487,93,1619
121,0.054875,172.31.47.0-255,66,1553,93,1619
122,0.059622,104.244.42.0-255,66,1619,93,1619
123,0.0,104.244.42.0-255,66,66,93,66
124,0.0,104.244.42.0-255,66,66,93,66
125,0.0,104.244.42.0-255,104,104,93,418
126,2.1e-05,172.31.47.0-255,78,182,93,418
127,0.003466,172.31.47.0-255,104,286,93,418
128,0.010603,157.240.13.0-255,66,352,93,418
129,0.046998,104.244.42.0-255,66,418,93,418
130,0.0,104.244.42.0-255,66,66,93,66
131,0.0,172.31.47.0-255,66,66,93,330
132,0.00587,104.244.42.0-255,66,132,93,330
133,0.008582,31.13.82.0-255,66,198,93,330
134,0.013661,31.13.82.0-255,66,264,93,330
135,0.058835,31.13.82.0-255,66,330,93,330
136,0.0,104.244.42.0-255,66,66,93,66
137,0.0,172.31.47.0-255,74,74,93,6308
138,0.001574,104.244.42.0-255,74,148,93,6308
139,0.00159,172.31.47.0-255,66,214,93,6308
140,0.004451,172.31.47.0-255,612,826,93,6308
141,0.005992,104.244.42.0-255,66,892,93,6308
142,0.009143,104.244.42.0-255,3363,4255,93,6308
143,0.009167,172.31.47.0-255,66,4321,93,6308
144,0.027966,157.240.13.0-255,66,4387,93,6308
145,0.034795,172.31.47.0-255,192,4579,93,6308
146,0.036685,104.244.42.0-255,308,4887,93,6308
147,0.037564,104.244.42.0-255,110,4997,93,6308
148,0.038872,172.31.47.0-255,66,5063,93,6308
149,0.039443,172.31.47.0-255,243,5306,93,6308
150,0.039469,172.31.47.0-255,728,6034,93,6308
151,0.041058,104.244.42.0-255,66,6100,93,6308
152,0.042447,104.244.42.0-255,104,6204,93,6308
153,0.042986,172.31.47.0-255,104,6308,93,6308
154,0.0,104.244.42.0-255,66,66,93,66
155,0.0,172.31.47.0-255,130,130,93,838
156,0.002019,157.240.13.0-255,66,196,93,838
157,0.00856,172.31.47.0-255,96,292,93,838
158,0.009038,172.31.47.0-255,101,393,93,838
159,0.009557,172.31.47.0-255,101,494,93,838
160,0.010553,157.240.13.0-255,66,560,93,838
161,0.019593,172.31.47.0-255,146,706,93,838
162,0.051386,157.240.13.0-255,66,772,93,838
163,0.053255,157.240.13.0-255,66,838,93,838
164,0.0,104.244.42.0-255,66,66,93,276
165,0.05823,172.31.47.0-255,105,171,93,276
166,0.058285,172.31.47.0-255,105,276,93,276
167,0.0,104.244.42.0-255,66,66,93,2553
168,0.000198,104.244.42.0-255,212,278,93,2553
169,0.000204,172.31.47.0-255,66,344,93,2553
170,0.004302,172.31.47.0-255,117,461,93,2553
171,0.005496,172.31.47.0-255,112,573,93,2553
172,0.005728,172.31.47.0-255,243,816,93,2553
173,0.005757,172.31.47.0-255,721,1537,93,2553
174,0.006046,104.244.42.0-255,110,1647,93,2553
175,0.006588,172.31.47.0-255,97,1744,93,2553
176,0.006598,172.31.47.0-255,66,1810,93,2553
177,0.006741,172.31.47.0-255,104,1914,93,2553
178,0.007318,104.244.42.0-255,66,1980,93,2553
179,0.007371,104.244.42.0-255,104,2084,93,2553
180,0.008145,104.244.42.0-255,66,2150,93,2553
181,0.00819,104.244.42.0-255,97,2247,93,2553
182,0.008207,172.31.47.0-255,54,2301,93,2553
183,0.008381,104.244.42.0-255,66,2367,93,2553
184,0.008387,172.31.47.0-255,54,2421,93,2553
185,0.043984,172.31.47.0-255,66,2487,93,2553
186,0.04918,104.244.42.0-255,66,2553,93,2553
187,0.0,104.244.42.0-255,66,66,93,132
188,0.016676,31.13.82.0-255,66,132,93,132
189,0.0,104.244.42.0-255,66,66,93,66
190,0.0,104.244.42.0-255,66,66,93,66
191,0.0,104.244.42.0-255,66,66,93,264
192,0.007429,31.13.82.0-255,66,132,93,264
193,0.011623,31.13.82.0-255,66,198,93,264
194,0.050566,31.13.82.0-255,66,264,93,264
195,0.0,104.244.42.0-255,167,167,93,453
196,1.5e-05,172.31.47.0-255,66,233,93,453
197,0.01277,172.31.47.0-255,154,387,93,453
198,0.014299,104.244.42.0-255,66,453,93,453
199,0.0,104.244.42.0-255,66,66,93,66
200,0.0,157.240.13.0-255,66,66,93,264
201,0.007114,104.244.42.0-255,66,132,93,264
202,0.014531,31.13.82.0-255,66,198,93,264
203,0.024945,31.13.82.0-255,66,264,93,264
204,0.0,157.240.7.0-255,66,66,93,132
205,0.01518,172.31.47.0-255,66,132,93,132
206,0.0,104.244.42.0-255,66,66,93,66
207,0.0,104.244.42.0-255,66,66,93,132
208,0.021468,31.13.82.0-255,66,132,93,132
209,0.0,172.31.47.0-255,66,66,93,264
210,0.002961,104.244.42.0-255,66,132,93,264
211,0.014127,31.13.82.0-255,66,198,93,264
212,0.020106,31.13.82.0-255,66,264,93,264
213,0.0,104.244.42.0-255,66,66,93,66
214,0.0,104.244.42.0-255,66,66,93,66
215,0.0,104.244.42.0-255,66,66,93,66
216,0.0,104.244.42.0-255,66,66,93,66
217,0.0,172.31.47.0-255,612,612,93,2618
218,0.001553,104.244.42.0-255,66,678,93,2618
219,0.001747,104.244.42.0-255,212,890,93,2618
220,0.001753,172.31.47.0-255,66,956,93,2618
221,0.002221,172.31.47.0-255,117,1073,93,2618
222,0.003969,104.244.42.0-255,110,1183,93,2618
223,0.004625,172.31.47.0-255,243,1426,93,2618
224,0.00465,172.31.47.0-255,720,2146,93,2618
225,0.00526,172.31.47.0-255,104,2250,93,2618
226,0.006209,104.244.42.0-255,66,2316,93,2618
227,0.006262,104.244.42.0-255,104,2420,93,2618
228,0.021473,157.240.13.0-255,66,2486,93,2618
229,0.043104,172.31.47.0-255,66,2552,93,2618
230,0.047507,104.244.42.0-255,66,2618,93,2618
231,0.0,104.244.42.0-255,66,66,93,66
232,0.0,104.244.42.0-255,66,66,93,66
233,0.0,157.240.13.0-255,66,66,93,132
234,0.024125,104.244.42.0-255,66,132,93,132
235,0.0,157.240.13.0-255,66,66,93,66
236,0.0,157.240.13.0-255,66,66,93,198
237,0.019973,172.31.47.0-255,66,132,93,198
238,0.026329,104.244.42.0-255,66,198,93,198
239,0.0,104.244.42.0-255,66,66,93,198
240,0.01397,31.13.82.0-255,66,132,93,198
241,0.050103,31.13.82.0-255,66,198,93,198
242,0.0,172.31.47.0-255,122,122,93,3334
243,0.001748,157.240.13.0-255,66,188,93,3334
