,TIME,SRC,PACKET_SIZE,CUMULATIVE_PACKET_SIZE,PAGE_NUMBER,TOTAL_PACKET_SIZE
0,0.0,157.240.13.0-255,66,66,8,2174
1,0.000266,157.240.13.0-255,278,344,8,2174
2,0.000278,172.31.36.0-255,66,410,8,2174
3,0.000902,172.31.36.0-255,130,540,8,2174
4,0.002282,172.31.36.0-255,236,776,8,2174
5,0.002313,172.31.36.0-255,535,1311,8,2174
6,0.00244,157.240.13.0-255,230,1541,8,2174
7,0.002495,157.240.13.0-255,140,1681,8,2174
8,0.002951,172.31.36.0-255,66,1747,8,2174
9,0.00304,172.31.36.0-255,97,1844,8,2174
10,0.003746,157.240.13.0-255,66,1910,8,2174
11,0.003754,157.240.13.0-255,97,2007,8,2174
12,0.00402,157.240.13.0-255,101,2108,8,2174
13,0.004176,172.31.36.0-255,66,2174,8,2174
14,0.0,74.125.24.0-255,66,66,8,66
15,0.0,172.31.36.0-255,74,74,8,74
16,0.0,172.31.36.0-255,74,74,8,3175
17,0.001729,157.240.13.0-255,74,148,8,3175
18,0.001754,172.31.36.0-255,66,214,8,3175
19,0.003624,172.31.36.0-255,606,820,8,3175
20,0.005364,157.240.13.0-255,66,886,8,3175
21,0.005731,157.240.13.0-255,278,1164,8,3175
22,0.005744,172.31.36.0-255,66,1230,8,3175
23,0.007149,172.31.36.0-255,130,1360,8,3175
24,0.008562,172.31.36.0-255,236,1596,8,3175
25,0.008596,172.31.36.0-255,537,2133,8,3175
26,0.008964,157.240.13.0-255,230,2363,8,3175
27,0.009001,157.240.13.0-255,140,2503,8,3175
28,0.009228,172.31.36.0-255,66,2569,8,3175
29,0.009317,172.31.36.0-255,97,2666,8,3175
30,0.010339,157.240.13.0-255,66,2732,8,3175
31,0.010374,157.240.13.0-255,97,2829,8,3175
32,0.010683,157.240.13.0-255,101,2930,8,3175
33,0.015699,172.31.36.0-255,66,2996,8,3175
34,0.017324,157.240.13.0-255,101,3097,8,3175
35,0.017346,172.31.36.0-255,78,3175,8,3175
36,0.0,74.125.24.0-255,66,66,8,140
37,0.011938,172.31.36.0-255,74,140,8,140
38,0.0,172.31.36.0-255,74,74,8,74
39,0.0,172.31.36.0-255,74,74,8,74
40,0.0,172.217.194.0-255,66,66,8,66
41,0.0,172.217.194.0-255,146,146,8,1104
42,0.002455,172.217.194.0-255,97,243,8,1104
43,0.002501,172.31.36.0-255,66,309,8,1104
44,0.002552,172.217.194.0-255,105,414,8,1104
45,0.002618,172.31.36.0-255,105,519,8,1104
46,0.00433,172.217.194.0-255,146,665,8,1104
47,0.005359,172.217.194.0-255,97,762,8,1104
48,0.005453,172.217.194.0-255,105,867,8,1104
49,0.006225,172.31.36.0-255,66,933,8,1104
50,0.006267,172.31.36.0-255,105,1038,8,1104
51,0.013293,172.217.194.0-255,66,1104,8,1104
52,0.0,172.31.36.0-255,74,74,8,2994
53,0.001734,157.240.13.0-255,74,148,8,2994
54,0.001753,172.31.36.0-255,66,214,8,2994
55,0.003544,172.31.36.0-255,606,820,8,2994
56,0.005294,157.240.13.0-255,66,886,8,2994
57,0.007356,157.240.13.0-255,278,1164,8,2994
58,0.007373,172.31.36.0-255,66,1230,8,2994
59,0.008104,172.31.36.0-255,130,1360,8,2994
60,0.009492,172.31.36.0-255,236,1596,8,2994
61,0.009523,172.31.36.0-255,535,2131,8,2994
62,0.009939,157.240.13.0-255,230,2361,8,2994
63,0.010002,157.240.13.0-255,140,2501,8,2994
64,0.010218,172.31.36.0-255,66,2567,8,2994
65,0.010304,172.31.36.0-255,97,2664,8,2994
66,0.011282,157.240.13.0-255,66,2730,8,2994
67,0.011291,157.240.13.0-255,97,2827,8,2994
68,0.011665,157.240.13.0-255,101,2928,8,2994
69,0.011692,172.31.36.0-255,66,2994,8,2994
70,0.0,172.31.36.0-255,74,74,8,74
71,0.0,172.31.36.0-255,74,74,8,74
72,0.0,172.217.194.0-255,66,66,8,66
73,0.0,172.217.194.0-255,66,66,8,1827
74,3.9e-05,172.217.194.0-255,66,132,8,1827
75,0.000114,172.217.194.0-255,66,198,8,1827
76,0.002826,172.217.194.0-255,150,348,8,1827
77,0.002868,172.217.194.0-255,97,445,8,1827
78,0.002904,172.217.194.0-255,105,550,8,1827
79,0.003455,172.31.36.0-255,66,616,8,1827
80,0.003502,172.31.36.0-255,105,721,8,1827
81,0.009783,172.217.194.0-255,66,787,8,1827
82,0.014071,172.31.36.0-255,661,1448,8,1827
83,0.014186,172.31.36.0-255,97,1545,8,1827
84,0.016713,172.217.194.0-255,66,1611,8,1827
85,0.016745,172.217.194.0-255,66,1677,8,1827
86,0.019758,172.217.194.0-255,150,1827,8,1827
87,0.0,172.31.36.0-255,74,74,8,74
88,0.0,172.31.36.0-255,74,74,8,74
89,0.0,172.217.194.0-255,66,66,8,66
90,0.0,172.31.36.0-255,74,74,8,2997
91,0.001444,157.240.13.0-255,74,148,8,2997
92,0.001461,172.31.36.0-255,66,214,8,2997
93,0.003191,172.31.36.0-255,606,820,8,2997
94,0.004613,157.240.13.0-255,66,886,8,2997
95,0.004876,157.240.13.0-255,278,1164,8,2997
96,0.004887,172.31.36.0-255,66,1230,8,2997
97,0.005534,172.31.36.0-255,130,1360,8,2997
98,0.006971,172.31.36.0-255,236,1596,8,2997
99,0.007001,172.31.36.0-255,538,2134,8,2997
100,0.007035,157.240.13.0-255,230,2364,8,2997
101,0.007068,157.240.13.0-255,140,2504,8,2997
102,0.007686,172.31.36.0-255,66,2570,8,2997
103,0.007781,172.31.36.0-255,97,2667,8,2997
104,0.008418,157.240.13.0-255,66,2733,8,2997
105,0.008436,157.240.13.0-255,97,2830,8,2997
106,0.008718,157.240.13.0-255,101,2931,8,2997
107,0.009559,172.31.36.0-255,66,2997,8,2997
108,0.0,172.31.36.0-255,74,74,8,74
109,0.0,172.31.36.0-255,74,74,8,2998
110,0.001788,157.240.13.0-255,74,148,8,2998
111,0.001808,172.31.36.0-255,66,214,8,2998
112,0.003525,172.31.36.0-255,606,820,8,2998
113,0.005277,157.240.13.0-255,66,886,8,2998
114,0.005668,157.240.13.0-255,278,1164,8,2998
115,0.005679,172.31.36.0-255,66,1230,8,2998
116,0.006504,172.31.36.0-255,130,1360,8,2998
117,0.008017,172.31.36.0-255,236,1596,8,2998
118,0.008049,172.31.36.0-255,539,2135,8,2998
119,0.008319,157.240.13.0-255,230,2365,8,2998
120,0.008379,157.240.13.0-255,140,2505,8,2998
121,0.008758,172.31.36.0-255,66,2571,8,2998
122,0.008855,172.31.36.0-255,97,2668,8,2998
123,0.009777,157.240.13.0-255,66,2734,8,2998
124,0.009786,157.240.13.0-255,97,2831,8,2998
125,0.010188,157.240.13.0-255,101,2932,8,2998
126,0.010311,172.31.36.0-255,66,2998,8,2998
127,0.0,74.125.24.0-255,151,151,8,3435
128,2.3e-05,74.125.24.0-255,286,437,8,3435
129,4.5e-05,74.125.24.0-255,168,605,8,3435
130,0.000118,74.125.24.0-255,105,710,8,3435
131,0.000313,172.31.36.0-255,66,776,8,3435
132,0.000344,172.31.36.0-255,105,881,8,3435
133,0.007224,74.125.24.0-255,66,947,8,3435
134,0.010159,172.31.36.0-255,780,1727,8,3435
135,0.010198,172.31.36.0-255,202,1929,8,3435
136,0.010279,172.31.36.0-255,470,2399,8,3435
137,0.012413,74.125.24.0-255,66,2465,8,3435
138,0.012426,74.125.24.0-255,66,2531,8,3435
